"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Thematic Classification"
"Climate Change Mitigation ODA Improved the Human Development Index but Had a Limited Impact on Greenhouse Gas Mitigation","https://scispace.com/paper/climate-change-mitigation-oda-improved-the-human-development-j7svek14ksto","2025","Journal Article","Forests","Hyunyoung Yang
Jeongyeon Chae
Eunho Choi","10.3390/f16081247","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Analyzes climate‑mitigation ODA effects on HDI and GHG emissions; does not develop accounting methods, address Rio markers, private‑finance tracking, double‑counting, UNFCCC history, or critical quantification politics.","Climate change mitigation Official Development Assistance (ODA) primarily aims to reduce greenhouse gas (GHG) emissions in developing countries while also seeking to enhance human welfare as a fundamental goal of development aid. This study investigates whether climate mitigation ODA contributes to achieving the principles of the doughnut framework—staying within the ecological ceiling (mitigating GHG emissions) while meeting the social foundation (enhancing human development index, HDI). We analyzed data from 77 developing countries between 2010 and 2020, including subgroup analyses by income level (high-, middle-, and low-income groups), using an instrumental variable–fixed effect approach. The results show that climate change mitigation ODA significantly improved the HDI but had no impact on reducing overall GHG emissions, including fossil fuel-based and land use change and forestry-based mitigations. When disaggregated by income level, ODA was found to improve the HDI and reduce fossil fuel-based GHG emission in low-income countries; however, these effects weakened as income levels increased. Across all income groups, there was no significant reduction in GHG emissions resulting from land use change or forestry. These findings suggest that climate change mitigation ODA can yield a greater impact when prioritized for low-income countries and that current ODA strategies for addressing GHG emissions related to land use change and forestry should be reconsidered. ",""
"Aid and climate finance","https://scispace.com/paper/kO0VU-a3qDoJ","","","","H Kharas","","https://www.brookings.edu/wp-content/uploads/2016/07/aid-climate-finance-kharas.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses aid and climate finance concepts without developing accounting methods, Rio markers, private‑finance tracking, double‑counting safeguards, UNFCCC history, or critical quantification analysis.","",""
"The Impact of the Integrated Financial Risk Management on the Effectiveness of the Decisions of the Financial Leverage: An Empirical Study on the Insurance Companies in Kosovo","https://scispace.com/paper/the-impact-of-the-integrated-financial-risk-management-on-2eruaq15os","2016","Journal Article","Social Science Research Network","Ibish Mazreku
Fisnik Morina","10.2139/SSRN.2819535","https://scispace.com/pdf/the-impact-of-the-integrated-financial-risk-management-on-2eruaq15os.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on financial risk management and leverage in Kosovo insurance firms; no climate‑finance methodology, OECD‑DAC markers, private‑finance tracking, double‑counting, UNFCCC context, or critical quantification analysis.","Among many decisions taken by business organizations, the most critical decision they take which affects the value of the company is that of the financial leverage. The designing of the decisions in a standard level of the financial leverage can be useful and at the same time harmful for the company. This study introduces a new approach called ""Integrated financial risk management"" which maximizes the effect of the organizational decisions. The management of the integrated financial risk aims at: improving the financial performance of the company, strengthening the stakeholders' communication and building a greater confidence in the market by providing real time data about the financial risks, decisions and the values of the organization, and finally approving and implementing a common framework about the risk inside the organization. The process of the integrated financial risk management (IFRM) is designed and established by the company management and is implemented by the staff inside the organization. This is not a linear process; an IFRM may also have an effect on other risks and on control tools which are recognized as effective on the limitation of the risk. In short, this management of the financial risks effects on the efficiency of the financial leverages decisions. This approach will have an impact on the increase of integration between strategic and operational standards inside and outside the country throughout the managerial hierarchy. In this study we will identify the relationship between the financial leverage and the performance of the insurance companies which are licensed by the Central Bank of Kosova. This is an econometric study for the period from 2010 until 2014.",""
"Leverage—A Broader View","https://scispace.com/paper/leverage-a-broader-view-24wcu8m7ew","2018","Journal Article","IMF Working Papers","Manmohan Singh
Zohair Alam","10.5089/9781484347034.001","https://scispace.com/pdf/leverage-a-broader-view-24wcu8m7ew.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on bank leverage, off‑balance‑sheet funding, and Basel regulations; does not address climate‑finance accounting, OECD DAC markers, private‑finance mobilization, double‑counting, UNFCCC assessments, or critical quantification politics.","Traditional measures of leverage in the financial system tend to reflect bank balance sheet data. The paper argues that these traditional, bank-centric measures should be augmented by considering pledged collateral in the financial system since pledged collateral provides a measure of an important part of nonbank funding to banks. From a policy perspective, the paper suggests that a broader view on leverage will enhance our understanding of global systemic risk, and complement the theoretical work in this field by providing a link from micro-level leverage data to macro aggregates such as credit to the economy.",""
"Official development assistance, global public goods, and implications for climate finance","https://scispace.com/paper/TTWDjyoUVmkJ","","","","C Kenny","","https://www.cgdev.org/sites/default/files/PP188-Kenny-ODA-GPGs-Full.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses ODA vs climate finance definitions; lacks methodological development, marker analysis, private‑finance tracking, double‑counting safeguards, UNFCCC history, or critical performativity insights.","",""
"Sociology and quantification: economics of convention as an approach to link quantification and public sociology","https://scispace.com/paper/sociology-and-quantification-economics-of-convention-as-an-3chmm4on","2023","Book Chapter","","Philippus Jacobus Fourie","10.4337/9781800377387.00012","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on sociology of quantification and economics of conventions, without addressing climate‑finance accounting, OECD markers, private‑finance tracking, double‑counting, UNFCCC history, or performative politics of climate finance.","The sociology of quantification is an emerging field, in which different disciplines are engaged to study the quantification processes in different social realms, their effects and usages, but also the plurality of underlying principles and logics of quantification. The science movement of economics of conventions (in short EC) is one of the most important strands, which contributed to the sociology of quantification. EC has identified, how quantification and measurement is based on measurement conventions. These conventions link numbers, but also categories and data in general to a common good. This way, EC can be conceived of as a link between the sociological analysis of processes of quantification (and categorization) to public issue, debates and concerns. It is for this link that EC can be regarded also as a contribution to public sociology. The contribution presents the plurality of conventions and introduces concepts of EC as quality conventions or data worlds. ",""
"Monitoring, reporting and verifying emissions in the climate economy","https://scispace.com/paper/monitoring-reporting-and-verifying-emissions-in-the-climate-28o2h13fjy","2015","Journal Article","Nature Climate Change","Valentin Bellassen
Nicolas Stephan
Marion Afriat
Emilie Alberola
Alexandra Barker
Jean-Pierre Chang
Caspar Chiquet
Ian Cochran
Mariana Deheza
Christopher Dimopoulos
Claudine Foucherot
Guillaume Jacquier
Romain Morel
Roderick Robinson
Igor Shishlov","10.1038/NCLIMATE2544","https://scispace.com/pdf/monitoring-reporting-and-verifying-emissions-in-the-climate-28o2h13fjy.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on emissions MRV for carbon pricing, not on climate‑finance accounting, concessionality, private‑finance tracking, UNFCCC finance history, or critical quantification politics.","This paper reviews the monitoring, reporting and verification of greenhouse-gas emissions needed for carbon-pricing and management mechanisms. The monitoring, reporting and verification (MRV) of greenhouse-gas emissions is the cornerstone of carbon pricing and management mechanisms. Here we consider peer-reviewed articles and 'grey literature' related to existing MRV requirements and their costs. A substantial part of the literature is the regulatory texts of the 15 most important carbon pricing and management mechanisms currently implemented. Based on a comparison of key criteria such as the scope, cost, uncertainty and flexibility of procedures, we conclude that conventional wisdom on MRV is not often promoted in existing carbon pricing mechanisms. Quantification of emissions uncertainty and incentives to reduce this uncertainty are usually only partially applied, if at all. Further, the time and resources spent on small sources of emissions would be expected to be limited. Although provisions aiming at an effort proportionate to the amount of emissions at stake — 'materiality' — are widespread, they are largely outweighed by economies of scale: in all schemes, MRV costs per tonne are primarily driven by the size of the source.",""
"Evaluating financial and development additionality in blended finance operations","https://scispace.com/paper/evaluating-financial-and-development-additionality-in-1rkg86e6z5","2021","Report Series","Research Papers in Economics","Ole Winckler Andersen
Henrik Hansen
John Rand","10.1787/A13BF17D-EN","https://scispace.com/pdf/evaluating-financial-and-development-additionality-in-1rkg86e6z5.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on blended‑finance additionality evaluation; does not develop climate‑finance accounting methods, address OECD‑DAC markers, track private‑finance mobilisation, discuss double‑counting, UNFCCC history, or performative politics.","This paper clarifies the various definitions of additionality currently in use, and explores the relationship between additionality and key evaluation terms, such as impact and causality. It concludes that additionality should be assessed both ex ante and ex post, and that the presence of additionality will depend on institutional structures and on how different public and private interests are addressed. The paper further argues that the relevance of evaluation methods will depend not only on the applied financial and non-financial instruments but also on the types and dimensions of additionality to be evaluated. Several examples of different approaches to assessing additionality are analysed.
The analysis provides a useful foundation for thinking through these issues, and will be of interest to both evaluation and blended finance actors.
This paper is the second in a series of three working papers from the OECD/DAC EvalNet Working Group on Evaluating Blended Finance.",""
"Eladósodás és tőkeszerkezet vizsgálata a kvázi-fiskális szektorban Magyarországon","https://scispace.com/paper/eladosodas-es-tokeszerkezet-vizsgalata-a-kvazi-fiskalis-1yl3y3sxl6","2020","Journal Article","Economica","Szilárd Hegedűs","10.47282/ECONOMICA/2015/8/4/2/4597","https://scispace.com/pdf/eladosodas-es-tokeszerkezet-vizsgalata-a-kvazi-fiskalis-1yl3y3sxl6.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Analyzes leverage and contingent liabilities in Hungary's quasi‑fiscal sector; no climate‑finance methodology, OECD‑DAC markers, private‑finance tracking, double‑counting, UNFCCC history, or critical quantification discourse.","Az önkormányzati alrendszer szervezeti struktúrájából adódóan nem csupán a hagyományos módon, költségvetési szervek közreműködésével látja el a feladatait, hanem a helyhatóságok gazdasági társaságokat is alapíthatnak a közfeladat ellátására, melyet a törvény a hatás-és feladatkörükbe utalt. Ennek megfelelően a helyhatóságok a feladataikat a tulajdonukban lévő önkormányzati cégek közreműködésével látnak el. Az önkormányzati adósságállománykonszolidálásra került 2013-ig, azonban az önkormányzati cégek azonban kockázatot jelentenek a tulajdonos önkormányzatoknak, valamint az alrendszer pénzügyi kockázatait jelentik. A tanulmányban a megyei jogú városok és a Főváros tulajdonában lévő önkormányzati vállalatok adósságállományának alakulását vizsgálom 2006-2013 között, melynek célja, hogy milyen mértékben jelentenek kockázatot a tulajdonosok, az önkormányzatok számára.",""
"Understanding Blended Finance: How different definitions of blended finance result in different inputs and outputs and what to expect","https://scispace.com/paper/understanding-blended-finance-how-different-definitions-of-3qcfjbwh","2023","Journal Article","Technium Social Sciences Journal","","10.47577/tssj.v44i1.8928","https://scispace.com/pdf/understanding-blended-finance-how-different-definitions-of-3qcfjbwh.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on blended finance definitions for development impact, not on climate‑finance accounting methods, DAC markers, private‑finance tracking, double‑counting, UNFCCC history, or critical quantification analysis.","Several breakthroughs were made to achieve the SDGs targets, including in the development funding subject, namely blended finance. As a new approach to development financing, this approach is not yet widely understood. One of the basic problems is that there is no internationally agreed definition of what blended finance is. The actors translate this concept according to the characteristics of their respective institutions. This translation causes a variety of blended finance, from the types of input in the blended finance operation, what output is produced from the collaboration, to what impact these institutions expect from the blended finance project they are involved. This paper examines the definitions of blended finance from four institutions commonly involved in blended finance projects, i.e. OECD, DFI, Convergence, and the European Union. By reviewing a selection of reports and their working papers, it can be concluded that the input, output, and impact expected by these actors depend on the blended finance definition they make respectively. Actors whose definition focuses on development are more toward developmental impact, while actors whose definition focuses on an economic perspective prefer focusing on projects with profit-oriented impacts. Understanding the matter will help those new players in blended finance, including policymakers, to decide which partner is more suitable to collaborate in which phase of blended finance. ",""
"Reforming Corporate Accounting through Sustainable Finance: Insights on Green Bonds, ESG Disclosure, and Circular Economy Integration","https://scispace.com/paper/reforming-corporate-accounting-through-sustainable-finance-y514gw2e073t","2024","Journal Article","Sinergi International Journal of Accounting and Taxation","Fifi Nurafifah Ibrahim","10.61194/ijat.v2i3.649","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Narrative review of sustainable finance topics; does not develop or test accounting methods, nor address OECD‑DAC markers, private‑finance tracking, double‑counting, UNFCCC history, or critical quantification politics.","This narrative review explores the evolving integration of sustainable finance within accounting frameworks, focusing on green bonds, ESG disclosure, circular economy, and climate-related financial reporting. The study aims to understand how accounting practices are adapting to sustainability imperatives and identify critical trends, challenges, and strategies. Literature was collected from Scopus and Google Scholar using targeted keywords and Boolean operators. Peer-reviewed studies were included based on their relevance to sustainable accounting and financial governance. Findings reveal that green bonds significantly enhance corporate green innovation, while circular economy models influence cost structures and promote transparent sustainability reporting. Biodiversity accounting is emerging as a vital tool for integrating ecological risk into ESG frameworks. Moreover, financial institutions are improving climate risk disclosures through digitalization and strengthened governance. These findings challenge traditional accounting paradigms and emphasize the need for reform that incorporates long-term ecological and social impacts. The review highlights systemic barriers, such as inconsistent regulations and limited institutional capacity, and proposes digital transformation and global standardization as key solutions. It concludes that accounting must evolve to support environmental responsibility and long-term value creation. Future research should explore the financial impact of ESG investments and the scalability of digital tools in sustainability reporting. ",""
"The Role of Environmental Accounting in Mitigating Climate Change: ESG Disclosures and Effective Reporting—A Systematic Literature Review","https://scispace.com/paper/the-role-of-environmental-accounting-in-mitigating-climate-fhvtq0zkhlfg","2025","Journal Article","Journal of risk and financial management","Moses Nyakuwanika
Manoj Panicker","10.3390/jrfm18090480","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a systematic review of ESG and environmental accounting, but does not develop new climate‑finance accounting methods, address OECD‑DAC markers, track private‑finance mobilization, discuss double‑counting, incorporate UNFCCC assessments, or offer critical performativity analysis.","Climate change poses an existential threat, spurring businesses and financial markets to integrate environmental accounting and ESG (Environmental, Social, and Governance) disclosures into decision-making. This study aims to examine how environmental accounting practices and ESG reporting contribute to climate change mitigation in organizations. It seeks to highlight the significance of these tools in enhancing transparency and accountability, thereby driving more sustainable corporate behavior. By synthesizing the recent literature, the study contributes a comprehensive overview of best practices and challenges at the intersection of accounting and climate action, addressing a noted gap in consolidated knowledge. We conducted a systematic literature review (SLR) following PRISMA guidelines. A broad search (2010–2024) across Scopus, Web of Science, and Google Scholar identified 73 records, which were rigorously screened and distilled to 47 relevant peer-reviewed studies. These studies span global contexts and include both conceptual and empirical work, providing a robust dataset for analysis. Environmental accounting was found to play a pivotal role in measuring and managing corporate carbon footprints, effectively translating climate impacts into quantifiable metrics. Firms that implement rigorous carbon accounting and internalize environmental costs tend to set more precise emission reduction targets and justify mitigation investments through a cost–benefit analysis. ESG disclosure frameworks emerged as critical external tools: a high-quality climate disclosure is linked with greater stakeholder trust and even financial benefits such as lower capital costs. Leading companies aligning reports with standards like TCFD or GRI often enjoy enhanced credibility and investor confidence. However, the review also uncovered challenges, like the lack of standardized reporting, risks of greenwashing, and disparities in adoption across regions, that impede the full effectiveness of these practices. The findings underscore that while environmental accounting and ESG reporting are powerful means to drive corporate climate action, their impact depends on improving consistency, rigor, and integration. Harmonizing global reporting standards and mandating disclosures are identified as key steps to improve data comparability. Strengthening the credibility of ESG disclosures and embedding environmental metrics into core decision-making are essential to leverage accounting as a tool for climate change mitigation. The study recommends that policymakers accelerate moves toward mandatory, standardized ESG reporting and urges organizations to proactively enhance their environmental accounting systems that will support global climate objectives and further research on actual emission outcomes. ",""
"The Impacts of combining climate finance with ODA on the volume of development finance","https://scispace.com/paper/the-impacts-of-combining-climate-finance-with-oda-on-the-56rw3vx91s","2017","Dissertation","","Kalekristos Zerisenay Gebreyesus","","https://archives.kdischool.ac.kr/bitstream/11125/32014/1/The%20Impacts%20of%20combining%20climate%20finance%20with%20ODA%20on%20the%20volume%20of%20development%20finance.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on ODA‑climate finance interaction, lacking accounting methodology, Rio markers, private‑finance tracking, double‑counting, UNFCCC history, or critical quantification analysis.","",""
"In focus: Reforming climate finance","https://scispace.com/paper/in-focus-reforming-climate-finance-13b9x7m1cc","2023","Journal Article","Development cooperation report ..","Leia Achampong","10.1787/98de3607-en","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses policy gaps and financing architecture, but lacks methodological development, Rio marker analysis, private‑finance tracking, double‑counting safeguards, historical UNFCCC assessment, or critical quantification analysis.","Global North countries have failed to fulfil their 2009 commitment to mobilise USD 100 billion annually in new and additional finance for climate mitigation and adaptation in Global South countries. Escalating debt levels and increasing loss and damage both increase the urgency for adequate climate finance flows. The 2024 deadline for setting a new global climate finance target offers an opportunity to establish a financing architecture that limits indebtedness from climate finance; improves monitoring and reporting, including on gender-responsive finance; closes the financing gap; and sets a robust new global climate finance goal based on the needs of communities and countries. ",""
"Finanças Climáticas Contabilidade, Sustentabilidade e Títulos Verdes","https://scispace.com/paper/financas-climaticas-contabilidade-sustentabilidade-e-titulos-c3ibs5v2rcyb","2025","Journal Article","Deleted Journal","Ticiane Lima dos Santos","10.23925/cintec.v3i1.72960","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on ESG reporting standards (ISSB, IFRS S1/S2) and green bond transparency, without addressing accounting methodologies, DAC markers, private‑finance tracking, double‑counting, UNFCCC history, or critical quantification politics.","A crescente pressão global por práticas sustentáveis impulsionou a necessidade de transparência e padronização nas informações ambientais, sociais e de governança (ESG). Nesse contexto, a criação do International Sustainability Standards Board (ISSB) e a subsequente publicação das normas de Requisitos Gerais para Divulgação de Informações Financeiras Relacionadas à Sustentabilidade (IFRS S1) e Divulgações Relacionadas ao Clima (IFRS S2) representam um avanço significativo. O Brasil destaca-se por sua atuação pioneira na adoção dessas normas internacionais, evidenciada pela Resolução CVM n.º193 e pela Resolução CFC n.º 1.710, que estabelecem a obrigatoriedade das divulgações a partir de 2026. Tal iniciativa posiciona o país na vanguarda da regulamentação global de relatórios de sustentabilidade. Paralelamente, este artigo aborda o papel crucial dos títulos verdes como mecanismos de financiamento para projetos com impacto ambiental positivo, como infraestrutura hídrica. São apontados desafios relativos à transparência e eficácia desses instrumentos, ressaltando a indispensabilidade da Contabilidade verde para a mensuração e a verificação independentemente dos resultados. A integração da sustentabilidade nas práticas contábeis com o fomento a pesquisas colaborativas internacionais, é apresentada neste momento como fundamental para o desenvolvimento de uma economia mais resiliente e equitativa. ",""
"Does Climate Finance Achieve Its Goals in Developing Countries? An Econometric Assessment of Mitigation and Adaptation Outcomes.","https://scispace.com/paper/does-climate-finance-achieve-its-goals-in-developing-zt88pryv6665","2025","Journal Article","","Bolin Wei","10.21203/rs.3.rs-6062326/v1","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses econometric analysis to evaluate climate‑finance impacts on emissions and adaptation outcomes; does not develop accounting methods, address Rio markers, track private finance, discuss double‑counting, reference UNFCCC history, or critique quantification politics.","<title>Abstract</title> Despite the increasing mobilization of climate finance under international frameworks, its effectiveness in achieving tangible mitigation and adaptation outcomes in developing countries remains empirically underexamined. This study evaluates the effectiveness of climate finance in developing countries by examining its impact on both greenhouse gas (GHG) emissions mitigation and climate adaptation outcomes. Using panel data from 30 developing countries over the period 2010–2021 and applying fixed-effects econometric models, the analysis investigates the effects of total climate finance, as well as disaggregated mitigation and adaptation flows, on key indicators including GHG emissions, agricultural productivity, water resource efficiency, and climate-induced economic losses. The results indicate that a 1% increase in total climate finance is associated with a 0.03% reduction in GHG emissions, highlighting its role in supporting low-carbon transitions. Mitigation finance demonstrates a significant positive impact on agricultural productivity but exhibits limited influence on water resource efficiency. Conversely, adaptation finance shows a positive correlation with economic losses in the short term, potentially reflecting the reactive allocation of funds to highly vulnerable regions. These findings suggest the need for more proactive and synergistic financing strategies. Policy implications include prioritizing long-term resilience investments, enhancing the balance between mitigation and adaptation allocations, and improving evaluation frameworks to maximize the effectiveness of climate finance in achieving sustainable development goals. ",""
"The need for a climate-resilient development-aligned framing of innovative climate finance","https://scispace.com/paper/the-need-for-a-climate-resilient-development-aligned-framing-rz5ah6adlr","2024","Journal Article","Current Opinion in Environmental Sustainability","Jessica Omukuti","10.1016/j.cosust.2023.101400","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews alignment of innovative climate finance with climate‑resilient development; does not develop accounting methods, address Rio markers, track private finance, discuss double‑counting, UNFCCC history, or performativity critiques.","The increasing recognition of the importance of climate-resilient development (CRD) for developing countries is accompanied by a further recognition of the need for financial resources to meet the need for adaptation, mitigation and sustainable development in these countries. Innovative finance sources and mechanisms are therefore recommended as a solution for scaling up climate finance to meet CRD needs in developing countries. This review article examines the alignment between innovative climate finance and CRD. It argues that the operationalisation of innovative climate finance generates misalignments with CRD principles particularly relating to how the finance is sourced, governed and allocated. This fails to align with CRD principles of ensuring transformations and transitions, equity and justice and agency and empowerment. The review article proposes an expanded and CRD-aligned understanding of innovative climate finance that improves the governance of existing climate finance flows. ",""
"The evolution of ideas in global climate policy","https://scispace.com/paper/the-evolution-of-ideas-in-global-climate-policy-2d2iz4vd6u","2020","Journal Article","Nature Climate Change","Jonas Meckling
Bentley B. Allan","10.1038/S41558-020-0739-7","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Analyzes economic ideas shaping climate policy, not climate‑finance accounting methods, DAC markers, private‑finance tracking, double‑counting, UNFCCC assessments, or performativity critiques.","From carbon pricing to green industrial policy, economic ideas have shaped climate policy. Drawing on a new dataset of policy reports, we show how economic ideas influenced climate policy advice by major international organizations, including the Organisation for Economic Cooperation and Development and the World Bank, from 1990 to 2017. In the 1990s, the neoclassical notion of weak complementarity between environmental protection and growth dominated debates on sustainable development. In the mid-2000s, economic thought on the environment diversified, as the idea of strong complementarity between environmental protection and growth emerged in the green growth discourse. Adaptations of Schumpeterian and Keynesian economics identified investment in energy innovation and infrastructure as drivers of growth. We thus identify a major transformation from a neoclassical paradigm to a diversified policy discourse, suggesting that climate policy has entered a postparadigmatic period. The diversification of ideas broadened policy advice from market-based policy to green industrial policy, including deployment subsidies and regulation. This analysis of global climate policy reports shows how economic ideas have shaped climate policy. The authors find a shift from neoclassical dominance to a more diversified discourse, which has expanded policy choices beyond market-based policies to include green innovation and industrial policy.",""
"Climate Finance: In search of additionality, accessibility and equity","https://scispace.com/paper/bjg_p5xi1QwJ","","","","SK Chowdhury
MA Baten
RAM Titumir","","https://unnayan.org/wp-content/uploads/reports/climate/climate%20finance_uo_D2D.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses ODA allocation of climate finance, lacking methodological development, Rio markers, private‑finance tracking, double‑counting mitigation, UNFCCC history, or critical quantification analysis.","",""
"Opportunities for mobilizing private climate finance through Article 6","https://scispace.com/paper/opportunities-for-mobilizing-private-climate-finance-through-mglnsxzxt0","2019","Book","","Axel Michaelowa
Ulf Moslener
Szymon Mikolajczyk
Stephan Hoch
W.P. Pauw
Matthias Krey
Karol Kempa
Aglaja Espelage
Kaja Weldner
Carsten Jung","10.5167/UZH-175368","https://www.zora.uzh.ch/id/eprint/175368/1/ZORA17368.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on designing Article 6 market mechanisms to attract private capital, without developing accounting methods, Rio markers, tracking frameworks, double‑counting safeguards, UNFCCC history, or critical quantification analysis.","The ambitious long-term target of the Paris Agreement (PA) can only be achieved if private sector action on climate change is scaled up and global finance flows are reoriented towards low-carbon development and climate resilience. Governments will need to trigger climate-compatible investments through targeted national policy instruments. International market mechanisms introduced by the PA in Article 6 are expected to play a critical role in creating the right incentives for mitigation activities financed and managed by the private sector. The upcoming Conference of the Parties (COP) in Chile is to deliver a final rulebook for Article 6, which will define the framework within which the private sector can operate and will define how generated mitigation results can be brought to market. While the price level achieved for internationally transferred mitigation outcomes (ITMO) or Article 6.4 Emission Reductions (A6.4ERs) will be the key driver for private sector engagement in market mechanisms, several other parameters will be relevant: the level of transaction costs, the degree of government interference, the scope of eligible activities, and the stringency of additionality determination and baseline setting. Balancing the delicate trade-off between private sector costs and assurance of environmental integrity is vital if new market mechanisms are to trigger private sector participation in climate change mitigation and adaptation activities at scale. This study seeks to answer the overarching question: How can Article 6 market mechanisms be designed to incentivize mobilization of private financing and contribute to support Article 2.1c in the Paris Agreement? While a wide definition of climate finance would cover finance triggered by market mechanisms; a narrow definition consistent with Article 9 PA would not cover market mechanism financing that aims to generate market mechanism units (ITMOs/A6.4ERs) for compliance with NDC targets. It should however be noted that no consensus on definitions has been achieved internationally so far.",""
"Topics in Finance Part IV--Valuation.","https://scispace.com/paper/topics-in-finance-part-iv-valuation-1x8rlukd6x","2010","Journal Article","American Journal of Business Education","Judy Laux","10.19030/AJBE.V3I9.473","https://scispace.com/pdf/topics-in-finance-part-iv-valuation-1x8rlukd6x.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on stock and bond valuation; no climate‑finance accounting, OECD‑DAC markers, private‑finance tracking, double‑counting, UNFCCC history, or critical quantification analysis.","This article looks at security valuation from the perspective of the financial manager, accenting the relationships to stockholder wealth maximization (SWM), risk and return, and potential agency problems. It also covers some of the pertinent literature related to how investors and creditors price the stocks and bonds of corporations.",""
"Climate finance after Paris","https://scispace.com/paper/climate-finance-after-paris-2qaceilp","2022","Book Chapter","","","10.4337/9781839101595.00018","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews climate finance mechanisms and green bonds without developing new accounting methods, lacking methodological depth, OECD‑DAC markers, private‑finance tracking, double‑counting analysis, UNFCCC history, or critical performativity discussion.","This chapter examines the role of public and private finance in facilitating greenhouse gas abatement and climate mitigation. We review the evolution of the international regime, with some emphasis on the Green Climate Fund. We discuss the history and future of green finance's contributions to greenhouse gas abatement, including public funding of transportation, utility financing of energy efficiency, the use of revenues from pollution taxes and allowance trading programs, and the use of COVID recovery funds to aid carbon abatement. We devote special attention to green bonds, a newly emerging private financing mechanism. We also highlight the potential for climate finance to advance environmental justice. This chapter concludes that we have made progress on climate finance, but that achieving the mitigation and adaptation goals set out by the Paris Agreement requires a major increase in climate finance. ",""
"Integrating land financing into subnational fiscal management","https://scispace.com/paper/integrating-land-financing-into-subnational-fiscal-270dl1oy8w","2010","Book","Social Science Research Network","George E. Peterson
Olga Kaganova","10.1596/1813-9450-5409","https://scispace.com/pdf/integrating-land-financing-into-subnational-fiscal-270dl1oy8w.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on land financing and subnational fiscal risk, lacking any climate‑finance accounting, OECD‑DAC markers, private‑finance tracking, double‑counting, UNFCCC history, or critical quantification analysis.","Land assets have become an important source of financing capital investments by subnational governments in developing countries. Land assets, often with billions of dollars per transaction, rival and sometimes surpass subnational borrowing or fiscal transfers for capital spending. While reducing the uncertainty surrounding future debt repayment capacity, the use of land-based revenues for financing infrastructure can entail substantial fiscal risks. Land sales often involve less transparency than borrowing. Many sales are conducted off-budget, which makes it easier to divert proceeds into operating budgets. Capital revenues from sales of land assets exert a much more volatile trend and could create an incentive to appropriate auction proceeds for financing the operating budget, particularly in times of budget shortfalls during economic downturns. Furthermore, land collateral and expected future land-value appreciation for bank loans can be linked with macroeconomic risks. It is critical to develop ex ante prudential rules comparable to those governing borrowing, to reduce fiscal risks and the contingent liabilities associated with the land-based revenues for financing infrastructure.",""
